job_id,title,company,location,employment_type,work_mode,posted,applicants,easy_apply,promoted,off_linkedin_apply,seniority,leadership_role,salary,salary_benefits,url,total_candidates,company_industry,company_size,company_followers,company_employees_linkedin,company_total_employees,company_growth_2yr,company_median_tenure,has_full_description
4346236242,"Senior Officer, Research Grants and Publications - UAE Nationals Only",Ajman University,United Arab Emirates,Full-time,On-site,Reposted 1 week ago,Over 100 people clicked apply,True,True,True,Senior,,,,https://www.linkedin.com/jobs/view/4346236242,"2,702",,501-1000 employees,"133,271","2,702",2702,,4.6 years,True
4354820362,Leadership and Public Speaking Course Specialist and Alumni Affairs Coordinator,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,Reposted 2 weeks ago,Over 100 people clicked apply,False,True,True,Principal,,,,https://www.linkedin.com/jobs/view/4354820362,"29,112",Higher Education,1001-5000 employees,"137,910","2,394",29112,,3.3 years,True
4357405404,IT System Trainer,Leonardo DRS,United Arab Emirates,Full-time,remote,Reposted 2 weeks ago,Over 100 people clicked apply,True,True,True,Senior,,$7,,https://www.linkedin.com/jobs/view/4357405404,"44,051",Defense and Space Manufacturing,5001-10000 employees,"126,606","6,319",44051,,6.6 years,True
4359187991,UAE-Genius,Apple,United Arab Emirates,Full-time,On-site,Reposted 2 weeks ago,Over 100 people clicked apply,True,True,True,Entry level,,,,https://www.linkedin.com/jobs/view/4359187991,"175,654",Computers and Electronics Manufacturing,10001+ employees,"18,145,690","175,654",175654,,4.7 years,True
4359284782,UAE-Technical Specialist,Apple,United Arab Emirates,Full-time,Remote,Reposted 2 weeks ago,Over 100 people clicked apply,True,True,True,Entry level,,,,https://www.linkedin.com/jobs/view/4359284782,"175,654",Computers and Electronics Manufacturing,10001+ employees,"18,145,690","175,654",175654,,4.7 years,True
4361345145,Community Officer,"Al Dhafra, UAE (UAE Nationals Only)","Al Dhafra, Abu Dhabi Emirate, United Arab Emirates",Contract,On-site,2 months ago,41 people clicked apply,True,False,True,Lead,,,,https://www.linkedin.com/jobs/view/4361345145,106,Business Consulting and Services,51-200 employees,"132,687",106,106,,3.1 years,True
4361768533,Innovation Lead,Safqah Capital,"Riyadh, Saudi Arabia",Full-time,On-site,1 month ago,Over 100 applicants,True,True,False,Lead,,,,https://www.linkedin.com/jobs/view/4361768533,,Financial Services,51-200 employees,"14,692",29,,,,True
4363014017,Senior Specialist - Graduate Employment / Alumni Affairs,Higher Colleges of Technology,"Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,1 month ago,Over 100 people clicked apply,True,True,True,Senior,,,,https://www.linkedin.com/jobs/view/4363014017,"7,121",Higher Education,1001-5000 employees,"240,667","7,121",7121,,6.7 years,True
4363062471,Specialist - Industry Liaison,Higher Colleges of Technology,"Ras al-Khaimah, United Arab Emirates",Full-time,On-site,1 month ago,Over 100 people clicked apply,True,True,True,internship,,,,https://www.linkedin.com/jobs/view/4363062471,"7,121",Higher Education,1001-5000 employees,"240,667","7,121",7121,,6.7 years,True
4364768442,"Manager, Interdisciplinary Applied Research and Innovation",Qatar Foundation,"Doha, Qatar",Full-time,On-site,3 weeks ago,Over 100 applicants,True,True,False,Manager,,,,https://www.linkedin.com/jobs/view/4364768442,"5,813",Non-profit Organizations,1001-5000 employees,"703,739","5,813",5813,,7.5 years,True
4365807926,Faculty all ranks,"United Arab Emirates University, Department of Family Medicine","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,1 month ago,Over 100 people clicked apply,True,False,True,Senior,,,,https://www.linkedin.com/jobs/view/4365807926,119,Higher Education,1001-5000 employees,"9,026",9,,,,True
4366021248,IBDP Coordinator,GEMS Education,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,1 month ago,61 people clicked apply,True,False,True,Principal,,,,https://www.linkedin.com/jobs/view/4366021248,"15,872",,10001+ employees,"525,571","15,872",15872,,3.8 years,True
4366224144,AI Deployment Strategist - MENA,Mistral AI,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,Hybrid,1 month ago,Over 100 people clicked apply,True,False,True,Lead,,,,https://www.linkedin.com/jobs/view/4366224144,889,"Technology, Information and Internet",201-500 employees,"600,134",888,889,,0.7 years,True
4367836503,Computing DT Teacher - September 2026,GEMS Education,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,1 month ago,57 people clicked apply,True,False,True,Principal,,,,https://www.linkedin.com/jobs/view/4367836503,"15,872",,10001+ employees,"525,571","15,872",15872,,3.8 years,True
4368050238,Career & Employer Relations Manager,Hult International Business School,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,Reposted 2 weeks ago,Over 100 people clicked apply,True,True,True,Manager,,,,https://www.linkedin.com/jobs/view/4368050238,"1,818",Higher Education,1001-5000 employees,"163,552","1,818",1818,,4.1 years,True
4368199945,University Development (Corporate Relations) Specialist,Abu Dhabi University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,1 month ago,Over 100 people clicked apply,True,False,True,Associate,,,,https://www.linkedin.com/jobs/view/4368199945,"1,857",Higher Education,201-500 employees,"268,762","1,857",1857,,3.8 years,True
4371188947,Specialist - Solution Engineering,Inception,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,hybrid,Reposted 5 days ago,Over 100 people clicked apply,True,True,True,executive,,,,https://www.linkedin.com/jobs/view/4371188947,201,"Technology, Information and Internet",51-200 employees,"27,287",201,201,,1 years,True
4371736358,Alumni Engagement Manager,Guardian Jobs,"Ţīwī, Ash Sharqiyah South Governorate, Oman",Contract,On-site,Reposted 2 weeks ago,Over 100 people clicked apply,False,True,True,Manager,,,,https://www.linkedin.com/jobs/view/4371736358,127,Advertising Services,51-200 employees,"230,250",127,127,,2.7 years,True
4371764419,School Compliance Officer,GEMS Education,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,3 weeks ago,Over 100 people clicked apply,True,False,True,lead,,,,https://www.linkedin.com/jobs/view/4371764419,"15,872",,10001+ employees,"525,571","15,872",15872,,3.8 years,True
4371967359,AI Enterprise Architect,First Abu Dhabi Bank (FAB),"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,Hybrid,Reposted 17 hours ago,Over 100 people clicked apply,True,True,True,Lead,,,,https://www.linkedin.com/jobs/view/4371967359,"17,134",Banking,1001-5000 employees,"1,140,033","17,134",17134,,3.6 years,True
4372318971,IT Teacher (HS) - August 2026,GEMS Education,"Doha, Qatar",Full-time,On-site,3 weeks ago,Over 100 people clicked apply,False,False,True,lead,,,,https://www.linkedin.com/jobs/view/4372318971,"15,872",,10001+ employees,"525,571","15,872",15872,,3.8 years,True
4372387712,Head of Careers & Alumni for Immediate Start,ADNOC Schools – (Education Company inside ADNOC Oil and Gas Group),"Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,3 weeks ago,Over 100 applicants,True,True,False,senior,,,,https://www.linkedin.com/jobs/view/4372387712,"1,112",Education,1001-5000 employees,"220,536","1,112",1112,,4.3 years,True
4372389648,Assistant Vice Principal - Male Campus,ADNOC Schools – (Education Company inside ADNOC Oil and Gas Group),"Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,3 weeks ago,Over 100 applicants,True,True,False,Principal,,,,https://www.linkedin.com/jobs/view/4372389648,"1,112",Education,1001-5000 employees,"220,543","1,112",1112,,4.3 years,True
4372695757,Artificial Intelligence Researcher,Hays,"Dubai, United Arab Emirates",Full-time,On-site,Reposted 1 week ago,Over 100 applicants,True,True,False,Entry level,,,,https://www.linkedin.com/jobs/view/4372695757,"31,374",Staffing and Recruiting,5001-10000 employees,"9,527,082","31,374",31374,,2.2 years,True
4372794877,Chief Executive Officer (CEO) - AIVM Blockchain - Middle East,ChainGPT,United Arab Emirates,Full-time,Remote,3 weeks ago,Over 100 applicants,True,False,False,Executive,,,,https://www.linkedin.com/jobs/view/4372794877,62,Software Development,51-200 employees,"24,584",62,62,,2.3 years,True
4372899733,"Director of Technology & Innovation- GCC (Doha) based -US$ 90,000 and family expat benefits",Renard International Hospitality Search Consultants,"Doha, Qatar",Full-time,On-site,3 weeks ago,Over 100 applicants,True,True,False,Director,,"$ 90,000",,https://www.linkedin.com/jobs/view/4372899733,39,Hospitality,11-50 employees,"144,222",39,39,,13.4 years,True
4373109759,Head of AI Transformation & Innovation,Sky News Arabia,"Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,Senior,,,,https://www.linkedin.com/jobs/view/4373109759,680,Broadcast Media Production and Distribution,501-1000 employees,"79,483",597,680,,7.9 years,True
4373121600,Chief Technology Officer,numi,"Dubai, United Arab Emirates",Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,Lead,,$450,,https://www.linkedin.com/jobs/view/4373121600,,Staffing and Recruiting,2-10 employees,"94,975",16,,,,True
4373685396,Research Commercialization Manager,Hamad Bin Khalifa University,"Doha, Qatar",Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,Manager,,,,https://www.linkedin.com/jobs/view/4373685396,,,,,,,,,False
4374070390,Social Media & Content Lead,Innovation City,"Ras al-Khaimah, United Arab Emirates",Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,Lead,,,,https://www.linkedin.com/jobs/view/4374070390,70,Government Administration,51-200 employees,"25,854",70,70,,1.1 years,True
4374381220,Specialist Innovation Project,PureHealth,"Dubai, United Arab Emirates",Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,senior,,,,https://www.linkedin.com/jobs/view/4374381220,"3,265",Hospitals and Health Care,10001+ employees,"372,999","3,265",3265,,3.7 years,True
4374498058,Research Engineer,Khalifa University,"Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,3 weeks ago,Over 100 applicants,True,True,False,director,,,,https://www.linkedin.com/jobs/view/4374498058,"3,627",,,,,3627,,4 years,True
4374702371,Artificial Intelligence Lead,Systems Limited,"Doha, Qatar",Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,Lead,,,,https://www.linkedin.com/jobs/view/4374702371,"7,971",IT Services and IT Consulting,5001-10000 employees,"600,709","7,971",7971,,3 years,True
4374706797,"Manager, Scientific Computing Support",Khalifa University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,Manager,,,,https://www.linkedin.com/jobs/view/4374706797,"3,627",Higher Education,1001-5000 employees,"261,382","3,627",3627,,4 years,True
4375137933,Director,American University of Sharjah Enterprises,"Sharjah, Sharjah Emirate, United Arab Emirates",Full-time,On-site,2 weeks ago,Over 100 people clicked apply,True,True,True,Director,,,,https://www.linkedin.com/jobs/view/4375137933,"2,547",Higher Education,501-1000 employees,"141,058","2,547",2547,,3.7 years,True
4375701853,Manager-Applied Research Quality Assurance,Higher Colleges of Technology,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,2 weeks ago,54 people clicked apply,False,False,True,Manager,,,,https://www.linkedin.com/jobs/view/4375701853,"7,121",Higher Education,1001-5000 employees,"240,667","7,121",7121,,6.7 years,True
4375919854,Chief Executive Officer,Disrupt.com (formerly Gaditek),"Dubai, United Arab Emirates",Full-time,On-site,1 week ago,Over 100 applicants,True,True,False,Executive,,$100,,https://www.linkedin.com/jobs/view/4375919854,511,"Technology, Information and Internet",501-1000 employees,"185,579",511,511,,3.3 years,True
4376900082,Senior AI Specialist Solution Architect - UAE,Red Hat,United Arab Emirates,Full-time,Remote,1 week ago,98 people clicked apply,True,True,True,Senior,,"$200,000/year",,https://www.linkedin.com/jobs/view/4376900082,"19,293",Software Development,10001+ employees,"1,527,275","19,293",19293,,6 years,True
4377121174,Associate Manager - Foresight Research (UAE National),DUBAI FUTURE FOUNDATION,"Dubai, United Arab Emirates",Full-time,On-site,2 weeks ago,89 people clicked apply,True,True,True,Associate,,,,https://www.linkedin.com/jobs/view/4377121174,359,Government Administration,51-200 employees,"143,945",359,359,,2.8 years,True
4377134217,AI Graduate Programme,e& UAE,United Arab Emirates,Full-time,On-site,2 weeks ago,Over 100 applicants,True,True,False,Entry level,,,,https://www.linkedin.com/jobs/view/4377134217,"49,658",Telecommunications,10001+ employees,"1,218,045","45,658",49658,,7.8 years,True
4378311557,Head Of XR & BCI Lab- Innovations,Dubai Health,"Dubai, United Arab Emirates",Full-time,On-site,1 week ago,Over 100 applicants,True,True,False,Lead,,,,https://www.linkedin.com/jobs/view/4378311557,"2,854",Hospitals and Health Care,10001+ employees,"126,239","2,854",2854,,2 years,True
4378843031,Arabic SEO Lead (MENA),Canva,"Dubai, Dubai, United Arab Emirates",Full-time,Hybrid,1 week ago,Over 100 people clicked apply,True,True,True,Lead,,,,https://www.linkedin.com/jobs/view/4378843031,"13,919",Software Development,1001-5000 employees,"2,511,288","13,919",13919,,1.4 years,True
4379650290,"Manager, Deep Tech Program, AUC Venture Lab, Grant Position",The American University in Cairo,"New Cairo, Cairo, Egypt",Full-time,On-site,6 days ago,Over 100 people clicked apply,False,True,True,Manager,,,,https://www.linkedin.com/jobs/view/4379650290,"5,467",Higher Education,1001-5000 employees,"425,311","5,467",5467,,6.9 years,True
4379823664,Director of the Training Center,TheECSSR,"Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,5 days ago,Over 100 applicants,True,True,False,Director,,,,https://www.linkedin.com/jobs/view/4379823664,107,Research,201-500 employees,"21,742",107,107,,4.1 years,True
4379830765,Data Architect,Zayed University,"Dubai, United Arab Emirates",Full-time,On-site,5 days ago,Over 100 people clicked apply,True,True,True,Associate,,,,https://www.linkedin.com/jobs/view/4379830765,"2,671",Higher Education,501-1000 employees,"165,772","2,671",2671,,3.9 years,True
4379875654,Local Partnerships Specialist (Qatarized),University of Doha for Science & Technology,"Doha, Qatar",Full-time,On-site,5 days ago,16 people clicked apply,False,True,True,Senior,,$100,,https://www.linkedin.com/jobs/view/4379875654,"1,209",Higher Education,201-500 employees,"72,294","1,209",1209,,2.3 years,True
4380358567,Technical Product Manager (100% Remote),Tether.io,United Arab Emirates,Full-time,Remote,1 week ago,42 people clicked apply,True,False,True,Manager,,$150/hr,,https://www.linkedin.com/jobs/view/4380358567,279,Financial Services,201-500 employees,"74,943",279,279,,1.6 years,True
4380442385,"Investment Professional, Venture Capital and Growth Equity, International Investor, Abu Dhabi, UAE",PER,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,Hybrid,5 days ago,Over 100 people clicked apply,True,True,True,lead,,,,https://www.linkedin.com/jobs/view/4380442385,231,Venture Capital and Private Equity Principals,51-200 employees,"90,657",231,231,,0.8 years,True
4380492331,Senior Specialist - Career Coaching (Dubai),Higher Colleges of Technology,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,6 days ago,47 people clicked apply,True,False,True,Senior,,,,https://www.linkedin.com/jobs/view/4380492331,"7,121",Higher Education,1001-5000 employees,"240,667","7,121",7121,,6.7 years,True
4380906331,D&C - Digital Strategy and Realization - Digital Government Strategy- Senior Manager,PwC Middle East,"Doha, Doha, Qatar",Full-time,On-site,6 days ago,59 people clicked apply,False,False,True,Senior,,,,https://www.linkedin.com/jobs/view/4380906331,"8,916",Business Consulting and Services,10001+ employees,"716,113","8,916",8916,,2.7 years,True
4381288646,"Senior Executive – Alumni Relations and Centre for Innovation, Incubation & Entrepreneurship (IIE)","Birla Institute Of Technology and Science, Pilani Dubai","Dubai, Dubai, United Arab Emirates",Full-time,On-site,1 day ago,80 people clicked apply,True,True,True,Senior,,,,https://www.linkedin.com/jobs/view/4381288646,286,Higher Education,51-200 employees,"19,384",286,286,,3.6 years,True
4381293186,AI Integrator,PTD FITNESS,"Dubai, United Arab Emirates",Full-time,On-site,2 days ago,Over 100 applicants,True,True,False,lead,,,,https://www.linkedin.com/jobs/view/4381293186,36,Wellness and Fitness Services,11-50 employees,"16,425",36,36,,1.3 years,True
4381650959,1. Senior Officer – Alumni engagement and Career Services,American University of Ras Al Khaimah,"Ras Al Khaimah, Ras al-Khaimah, United Arab Emirates",Full-time,On-site,5 days ago,69 people clicked apply,True,False,True,Senior,,,,https://www.linkedin.com/jobs/view/4381650959,502,Higher Education,201-500 employees,"40,284",502,502,,4.2 years,True
4381704898,Enterprise Solutions Owner – Strategy & AI Innovation,Innovation Consulting Group (ICG),"Riyadh, Riyadh, Saudi Arabia",Full-time,On-site,1 day ago,Over 100 applicants,True,True,False,lead,,,,https://www.linkedin.com/jobs/view/4381704898,49,IT Services and IT Consulting,51-200 employees,"14,836",49,49,,1.8 years,True
4381745188,Seed Investor,NARVANCE,"Dubai, Dubai, United Arab Emirates",Contract,Hybrid,1 day ago,13 applicants,True,False,False,lead,,$22,,https://www.linkedin.com/jobs/view/4381745188,,Business Consulting and Services,2-10 employees,9,1,,,,True
4381970989,Product Growth - MENA (Localization in Arabic),Canva,"Dubai, Dubai, United Arab Emirates",Full-time,Hybrid,4 days ago,Over 100 people clicked apply,True,True,True,Senior,,,,https://www.linkedin.com/jobs/view/4381970989,"13,919",Software Development,1001-5000 employees,"2,511,288","13,919",13919,,1.4 years,True
4382031935,Innovation Specialist - Startups & Ventures,Emirates,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,20 hours ago,Over 100 people clicked apply,True,True,True,Senior,NO,,"Join us in Dubai and enjoy an attractive tax-free salary and travel benefits that are exclusive to our industry, including discounts on flights and hotels stays around the world. Find out what it’s like to live and work in our fast-paced, cosmopolitan home city in the Dubai Lifestyle section of our website www.emirates.com/careers",https://www.linkedin.com/jobs/view/4382031935,"69,570",Airlines and Aviation,10001+ employees,"5,140,573","69,570",69570,,5.5 years,True
4382069501,Chief Specialist - Talent Development Center,Roads and Transport Authority,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,1 day ago,37 people clicked apply,True,False,True,Senior,,,,https://www.linkedin.com/jobs/view/4382069501,"6,008",Government Administration,1001-5000 employees,"778,156","6,008",6008,,7.5 years,True
4382080005,Generative AI Engineer,UMATR,United Arab Emirates,Full-time,Remote,17 hours ago,Over 100 applicants,True,True,False,Principal,,,,https://www.linkedin.com/jobs/view/4382080005,,Staffing and Recruiting,11-50 employees,"145,312",30,,,,True
4382690211,Director of Investor Relations,Empyrean Sky Partners,"Dubai, Dubai, United Arab Emirates",Full-time,Hybrid,2 days ago,Over 100 applicants,True,True,False,Director,,,,https://www.linkedin.com/jobs/view/4382690211,,Venture Capital and Private Equity Principals,51-200 employees,228,12,,,,True
4382830824,Remote IT Technician,AI Future,United Arab Emirates,Part-time,Remote,3 hours ago,26 applicants,False,False,False,Entry level,,,,https://www.linkedin.com/jobs/view/4382830824,,Business Content,2-10 employees,"81,379",4,,,,True
4382941836,Head of IT,Dubai Careers - A Smart Dubai Initiative,"Dubai, Dubai, United Arab Emirates",Full-time,On-site,2 days ago,Over 100 people clicked apply,True,False,True,Director,,,,https://www.linkedin.com/jobs/view/4382941836,355,,0 employees,"136,771",26,,,,True
4383338519,UA Manager,Jobgether,United Arab Emirates,Full-time,Remote,1 day ago,40 applicants,True,False,False,Manager,,,,https://www.linkedin.com/jobs/view/4383338519,388,Internet Marketplace Platforms,11-50 employees,"2,166,746",388,388,,0.5 years,True
4383709933,Entrepreneur in Residence,noon,"Dubai, United Arab Emirates",Full-time,On-site,19 hours ago,Over 100 applicants,True,True,False,senior,,$150/hr,,https://www.linkedin.com/jobs/view/4383709933,"46,006",,5001-10000 employees,"2,338,309","46,004",46006,,1.7 years,True
4383729062,Cloud Data Architect (24M),Etihad,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",Full-time,On-site,19 hours ago,68 people clicked apply,True,True,True,Manager,,,,https://www.linkedin.com/jobs/view/4383729062,"14,794",Airlines and Aviation,"12,000+ employees","2,425,204","14,794",14794,,4.6 years,True
4383793870,AI Agent Engineer,Jobgether,United Arab Emirates,Full-time,Remote,13 hours ago,92 applicants,True,False,False,Entry level,,"$30,000 – $60,000",,https://www.linkedin.com/jobs/view/4383793870,388,Internet Marketplace Platforms,11-50 employees,"2,166,744",388,388,,0.5 years,True
